Value_9362,Value_9363,Value_9364,Value_9365,Value_9366,Value_9367,Value_9371,Value_9372,BaseTimeStamp,BaseDateTime
60.0,19.0,64.0,33.0,37.0,7.0,62.0,61.0,1621298192.0,2021-05-18 00:36:32
59.0,19.0,63.0,25.0,36.0,10.0,63.0,62.0,1621309072.0,2021-05-18 03:37:52
62.0,20.0,59.0,21.0,33.0,10.0,67.0,66.0,1621319760.0,2021-05-18 06:36:00
62.0,19.0,61.0,18.0,33.0,10.0,67.0,66.0,1621330468.0,2021-05-18 09:34:28
58.0,18.0,61.0,18.0,33.0,8.0,62.0,62.0,1621341244.0,2021-05-18 12:34:04
58.0,18.0,61.0,18.0,34.0,7.0,59.0,58.0,1621353974.0,2021-05-18 16:06:14
58.0,19.0,66.0,36.0,42.0,7.0,58.0,58.0,1621557530.0,2021-05-21 00:38:50
58.0,20.0,65.0,34.0,43.0,7.0,65.0,64.0,1621570194.0,2021-05-21 04:09:54
56.0,20.0,64.0,29.0,45.0,10.0,69.0,68.0,1621579194.0,2021-05-21 06:39:54
61.0,20.0,62.0,21.0,34.0,12.0,69.0,68.0,1621590899.0,2021-05-21 09:54:59
54.0,18.0,59.0,22.0,23.0,11.0,65.0,60.0,1621600423.0,2021-05-21 12:33:43
54.0,18.0,57.0,22.0,23.0,9.0,61.0,57.0,1621611303.0,2021-05-21 15:35:03
54.0,18.0,62.0,28.0,32.0,6.0,57.0,53.0,1621622186.0,2021-05-21 18:36:26
53.0,19.0,62.0,29.0,40.0,7.0,56.0,55.0,1621633716.0,2021-05-21 21:48:36
58.0,19.0,64.0,36.0,40.0,6.0,64.0,64.0,1621643613.0,2021-05-22 00:33:33
58.0,19.0,64.0,34.0,43.0,8.0,66.0,65.0,1621656430.0,2021-05-22 04:07:10
61.0,19.0,58.0,18.0,38.0,10.0,68.0,68.0,1621665539.0,2021-05-22 06:38:59
62.0,19.0,60.0,21.0,37.0,10.0,68.0,67.0,1621676196.0,2021-05-22 09:36:36
58.0,18.0,60.0,21.0,37.0,10.0,64.0,63.0,1621688357.0,2021-05-22 12:59:17
58.0,18.0,57.0,23.0,33.0,8.0,61.0,60.0,1621697609.0,2021-05-22 15:33:29
59.0,18.0,60.0,24.0,35.0,6.0,60.0,59.0,1621709465.0,2021-05-22 18:51:05
58.0,20.0,63.0,25.0,32.0,12.0,65.0,64.0,1621148025.0,2021-05-16 06:53:45
53.0,19.0,63.0,25.0,32.0,12.0,62.0,62.0,1620909976.0,2021-05-13 12:46:16
53.0,19.0,65.0,37.0,39.0,8.0,60.0,59.0,1621870417.0,2021-05-24 15:33:37
58.0,19.0,62.0,30.0,41.0,6.4,63.0,58.0,1621892081.0,2021-05-24 21:34:41
60.0,20.0,65.0,36.0,41.0,7.0,59.0,59.0,1621903556.0,2021-05-25 00:45:56
60.0,20.0,65.0,26.0,34.0,8.0,65.0,64.0,1621916132.0,2021-05-25 04:15:32
58.0,20.0,61.0,23.0,35.0,9.0,61.0,60.0,1621375005.0,2021-05-18 21:56:45
61.0,20.0,60.0,20.0,24.0,13.0,67.0,67.0,1621406654.0,2021-05-19 06:44:14
