AssetID,Value,DateTime
8319,44,54:34.0
8319,46,29:53.0
8319,42,25:24.0
8319,38,04:15.0
8319,46,20:50.0
8319,44,38:32.0
8319,41,54:23.0
8319,37,39:36.0
8319,41,36:20.0
8319,36.5,33:15.0
8319,42,19:36.0
8319,40,22:40.0
8319,38,18:45.0
8319,35,34:27.0
8319,43,11:29.0
8319,43,04:17.0
8319,38,06:56.0
8319,36,06:03.0
8319,42,29:16.0
8319,34,46:13.0
8319,48,20:18.0
8319,49,10:36.0
8319,46,40:21.0
8319,44,06:41.0
8319,42,53:06.0
8319,40,24:29.0
8319,44,13:13.0
8319,45,26:09.0
8319,42,48:31.0
8319,37,27:15.0
8319,42,41:15.0
8319,43,59:51.0
8319,38,40:21.0
8319,44,34:29.0
8319,40,45:32.0
8319,40,21:28.0
8319,45,19:10.0
8319,43,47:20.0
8319,40,41:37.0
8319,35,22:57.0
8319,40,22:42.0
8319,44,25:28.0
8319,37,51:40.0
8319,42,58:21.0
8319,44,18:40.0
8319,40,03:04.0
8319,42,23:22.0
8319,37,09:09.0
8319,45,12:22.0
8319,43,36:42.0
8319,38,39:00.0
8319,42,27:41.0
8319,38,26:26.0
8319,40,03:56.0
8319,37,28:30.0
8319,43,43:33.0
8319,38,29:06.0
8319,36,11:46.0
8319,40,22:52.0
8319,37,10:29.0
8319,48,23:32.0
8319,44,56:35.0
8319,41,48:57.0
8319,39,10:19.0
8319,42,30:04.0
8319,48,26:33.0
8319,50,53:20.0
8319,48,49:31.0
8319,39,51:04.0
8319,45,06:45.0
8319,44,34:02.0
8319,40,05:26.0
8319,38,15:01.0
8319,35,03:01.0
8319,40,00:33.0
8319,42,58:52.0
8319,35,37:09.0
8319,42,46:19.0
8319,42,25:23.0
8319,39.5,35:35.0
8319,40,00:02.0
8319,38,44:39.0
8319,44,14:02.0
8319,40,28:19.0
8319,36,11:00.0
8319,43,02:14.0
8319,42,42:27.0
8319,40,14:56.0
8319,36,15:10.0
8319,42,52:37.0
8319,42,37:39.0
8319,38,54:53.0
8319,34,21:01.0
8319,44,30:23.0
8319,33,28:20.0
8319,39,54:54.0
8319,44,52:59.0
8319,36,58:20.0
8319,39,23:37.0
8319,35,52:32.0
8319,32,51:30.0
8319,39,00:29.0
8319,34,16:13.0
8319,44,01:01.0
8319,41,48:02.0
8319,35,27:21.0
8319,41,13:53.0
8319,35,25:48.0
8319,41,56:02.0
8319,42,16:34.0
8319,39,22:16.0
8319,41,26:50.0
8319,36.5,11:50.0
8319,32,44:47.0
8319,32,38:30.0
8319,38,42:33.0
8319,42,26:35.0
8319,38,48:01.0
8319,34,13:13.0
8319,40,03:50.0
8319,33,51:12.0
8319,38,34:04.0
8319,39,16:25.0
8319,44,53:40.0
8319,42,30:49.0
